Title,Name,Speciality,Sub_speciality,Address,Price,Doctor_Rating,Views
Doctor,Haytham Zawaid,Consultant of orthopedics and arthroplasty surgery Arab Medical Union,"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Beverly Hills,500,4.5,14793
Doctor,Mohamed Elabbasy,Orthopedics Consultant,"Orthopedist, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Adult Rheumatology, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Arthroscopy and Sports injuries, Pediatric Orthopedics, Pediatric Spine Surgery, 0% of Hand Fracture patients are satisfied with the results",El-Mokattam,250,4.5,18028
Doctor,Atef shohdi,Consultant Orthopedic Surgery,"Orthopedist, Arthroscopy and Sports injuries, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",El-Haram : khatam Al Morsalen Street ,300,4.5,11876
Doctor,Tarek Abdelkhalek Saad,"Consultant of Orthopedics,joint and Spine surgery","Orthopedist, Adult Orthopedic Surgery, Joint Replacement, Arthroscopy and Sports injuries, Adult Spine Surgery, Foot and Ankle Orthopedics, Pediatric Orthopedic Surgery",6th of October,250,4.5,30731
Doctor,Mostafa Ahmed el Feky,Specialist of Orthopedics and sport injuries ( Egyptian National Football Team),"Orthopedist, Adult Orthopedics, Arthroscopy and Sports injuries, Adult Orthopedic Surgery, Joint Replacement",New Cairo : .,600,4.5,10155
Doctor,Mohamed Khairy El Gamal ,"Consultant , MSc ,MD Orthopedic Surgery, FRCS Ed.","Orthopedist, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Adult Rheumatology, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, 0% of Knee Pain patients are satisfied with the results",El-Mokattam : Al Mokattam St. From 9 Street,400,5.0,11627
Doctor,Mohammed Kilany,"Orthopedic And Spine Surgery Consultant,Phd Spine Surgery.","Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Hurghada City : Elnasr Street-Fourth Building After Hurghada Main Post Office-heading to Eldahar Square ,300,5.0,3984
Doctor,Mahmoud Abdelbaset,consultant of Orthopedic Surgery and Sport Injuries,"Orthopedist, Adult Orthopedics",Helwan : Mostafa Safwat Street intersection with Borhan Street,300,4.5,4942
Doctor,Ahmed ElSaeed,"Consultant of orthopedics, joints and sports injuries, Ain Shams University","Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Osteopathic Medicine, Adult Spine Surgery, Microscopic Surgery, Foot and Ankle Orthopedics",6th of October,400,4.5,9561
Doctor,Ahmed Gazar,Consultant of Orthopedic surgery and Pediatric Deformities at National Institute of Neuromotor System(NINMS),"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Adult Orthopedics, Osteopathic Medicine, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Mahalla : talat harab square,210,5.0,2430
Doctor,Mohamed Abdel Samie,"Consultant of Orthopedic Surgery
","Orthopedist, Adult Orthopedic Surgery, Foot and Ankle Orthopedics, Hand and Upper Limb Surgery, Arthroscopy and Sports injuries, Osteopathic Medicine, 0% of Arm Pain patients are satisfied with the results",6 october,250,4.0,4198
Doctor,Hossam Eldin Galal,First Consultant in Orthopedics and  Joint and spine surgery -Alkasr al aini-cairo university,"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Joint Replacement, Adult Orthopedics, Adult Orthopedic Surgery, Foot and Ankle Orthopedics",Faisal : Ammar bn Yasser - Faisal,300,4.5,3352
Doctor,Alaa Eldin Elzoheiry,Professor of Orthopedic Surgery at the Faculty of Medicine,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Adult Rheumatology, Adult Orthopedic Surgery",West El-Balad : Elfalaky Street,500,4.5,11047
Doctor,Ahmed Hegazy,consultant of Orthopedics Surgery.,"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, 94% of Arthritis patients are satisfied with the results",Helwan,250,5.0,10558
Doctor,Hani Ali AlAnani,Orthopedic Surgery Consultant and pediatric orthopedic surgery,"Orthopedist, Arthroscopy and Sports injuries, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Pediatric Orthopedics, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Bone Deformities, Foot and Ankle Orthopedics, Hand and Upper Limb Surgery, 0% of Arthritis patients are satisfied with the results",Nasr City,350,5.0,3667
Doctor,mina shawky,orthopedic consultant,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",El-Asafra : 45 street wz 14 street,120,,73
Doctor,Mostafa Attya,Orthopedics consultant,"Orthopedist, Arthroscopy and Sports injuries, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Adult Orthopedic Surgery, 0% of Knee Pain patients are satisfied with the results",El-Seyouf : adeeb moakad,150,4.5,9026
Doctor,Alaa Said Eissa,Consultant Of Orthopedics Surgery And Head Of Orthopedics Department At Central El Saff Hospital,"Orthopedist, Adult Orthopedics, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Bone Deformities, Hand and Upper Limb Surgery, Foot and Ankle Orthopedics, Joint Replacement, Osteopathic Medicine, Arthroscopy and Sports injuries, Adult Spine Surgery, Pediatric Spine Surgery",Helwan : Saleh Sobhy Street City If Empolyes,250,4.5,12688
Doctor,AHMED HASSAN ABDELKHALEK,Consultant of Orthopaedics and orthopaedic surgery,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Joint Replacement, Adult Orthopedics, Adult Orthopedic Surgery, Adult Rheumatology, Pediatric Orthopedic Surgery, Foot and Ankle Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, 81% of Neck Pain patients are satisfied with the results",Imbaba : Al Wehda,200,4.5,21707
Doctor,Mohamed AbdElmenam Gafar,Consultant Of Orthopedic Surgery/Fellowship Of Harvard Medical School associate ,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Microscopic Surgery, Adult Orthopedic Surgery, Pediatric Orthopedics",Nasr City,350,4.5,10809
Doctor,AlSayed Ahmed Taha,consultat in orthopedic surgeries,"Orthopedist, Adult Orthopedics, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Hand and Upper Limb Surgery, Foot and Ankle Orthopedics, 0% of Knee Pain patients are satisfied with the results",Shoubra El-Kheima : Ahmed oraby,200,4.5,6309
Doctor,sherif eldesouky,"Senior Consultant of Orthopedics, Joints, Spine, Shoulder and Knee Arthroscopy - Ain Shams Medicine","Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery","Mostafa Al , Nahhas Main Street",400,5.0,866
Doctor,Ahmed Moatamed,orthopedic /Spine surgery El Helmia military Hospital,"Orthopedist, Joint Replacement, Adult Orthopedics, Adult Orthopedic Surgery, Arthroscopy and Sports injuries, Adult Spine Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Orthopedic Surgery, Bone Deformities, Osteopathic Medicine, Pediatric Rheumatology, Foot and Ankle Orthopedics, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Spine Surgery, 0% of Arthritis patients are satisfied with the results",Mit Ghamr : Elgesh street elnile tower,200,5.0,13469
Doctor,mohamed nabil,"Consultant Of Orthopedics, Fractures, Arthroscopy, Knee, Shoulder And Artificial joints.","Orthopedist, Adult Orthopedics, Adult Orthopedic Surgery, Joint Replacement, Pediatric Orthopedics, Pediatric Orthopedic Surgery, Arthroscopy and Sports injuries, Bone Deformities, Hand and Upper Limb Surgery",Mahalla : shoun square,220,5.0,6636
Doctor,mohamed nabil,"Consultant Of Orthopedics, Fractures, Arthroscopy, Knee, Shoulder And Artificial joints.","Orthopedist, Adult Orthopedics, Adult Orthopedic Surgery, Joint Replacement, Pediatric Orthopedics, Pediatric Orthopedic Surgery, Arthroscopy and Sports injuries, Bone Deformities, Hand and Upper Limb Surgery",Mahalla : shoun square,220,5.0,6636
Doctor,Mohsen Abdel Gaffar,"Consultant In Orthopedics , Joints and Spinal Surgery","Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Osteopathic Medicine, Hand and Upper Limb Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, 0% of Back Pain patients are satisfied with the results",Faisal : King Faisal,350,4.5,8561
Doctor,Elsayed Salah elbanna,"Consultant and lecturer of orthopedics, fractures, spine and joints, Al-Azhar Medicine","Orthopedist, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Arthroscopy and Sports injuries",El-Obour City : Sadat axis,200,4.5,2221
Doctor,Yehia El Sayed Shehata,Consultant in Orthopedics,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Third Gate,300,,2447
Doctor,Hazem Mahfouz,Consultant of Orthopedics and orthopedic surgery  ,"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Gesr El Suez ,600,,270
Doctor,Amr Shawky,Consultant of Orthopedic,"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Adult Orthopedic Surgery",Elhosry Square-Elalamia towers,500,,33
Doctor,Tarek Ali,"Consultant of orthopedic surgery, arthroplasty and spine surgery at al salam international hospital ","Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",El-Haram : Elebiny Street-infrontvof ragab sons street-Elmarioutia Haram,300,4.5,1157
Doctor,Mohamed Abdelsamie,Consultant orthopedic and spine surgery,"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Adult Rheumatology, Adult Orthopedic Surgery",6th of October,150,4.5,606
Doctor,Mohamed Ezzat Zaghloul,"MD of Orthopedics and Traumatology, Consultant Orthopedic and Arthroscopic Surgery","Orthopedist, Arthroscopy and Sports injuries, Joint Replacement, Adult Orthopedics, Microscopic Surgery, Adult Orthopedic Surgery",El-Mansoura : Sandoub,150,4.5,2421
Doctor,Ahmad Omar,Consultant of orthopedics and fractures,"Orthopedist, Arthroscopy and Sports injuries, Adult Orthopedics, Osteopathic Medicine, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology",Luxor City : Fayrouz ,130,,1885
Doctor,Hany Mansour,"Consultant of orthopedics, joints and spine","Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Medical Center 1,400,4.5,620
Doctor,Moataz Elsayed,Consultant of Orthopedic Surgery ,"Orthopedist, Arthroscopy and Sports injuries, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Nasr City : Hasan Elsherif street - continuation of Hasan Maamon Street - infront of Elmanhal School,150,4.5,621
Doctor,mona salah,"Consultant of orthopedics, joints, spine, sports injuries and fractures - Ain Shams Medicine","Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Gesr El Suez ,600,,69
Doctor,Andrew Aghabious,Specialist of Orthopedic and Spinal surgery,"Orthopedist, Arthroscopy and Sports injuries, Joint Replacement, Microscopic Surgery, Bone Deformities, Pediatric Orthopedic Surgery, Adult Spine Surgery, Foot and Ankle Orthopedics, Pediatric Orthopedics",Heliopolis,350,4.5,13520
Doctor,Khaled ElFikey,DxFirst Consultant  of orthopedic surgery and joints.,"Orthopedist, Adult Orthopedics, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Bone Deformities, Hand and Upper Limb Surgery, Foot and Ankle Orthopedics, Joint Replacement, Microscopic Surgery, Osteopathic Medicine, Arthroscopy and Sports injuries, Adult Spine Surgery, Pediatric Spine Surgery, Adult Rheumatology, Pediatric Rheumatology",El-Sheikh Zayed,400,4.5,9587
Doctor,Amr Mostafa Eldershaby,Orthopedic And Fracture Consultant/Master Of Orthopedic And Fracture-Ain Shams University.,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Damanhur,150,5.0,732
Doctor,Mostafa Khalil,"Consultant of orthopedics, joints and spine","Orthopedist, Bone Deformities, Foot and Ankle Orthopedics, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Medical Center 1,400,4.5,624
Doctor,Mahmoud Harb,"Consultant and teacher of orthopedics, joints, spine, sports injuries and fractures - Al-Azhar Medicine","Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Qalyoub : Rose El Youssef Sliders - Qalyub El Mahatta,100,4.5,701
Doctor,Amr Akef,Specialist of orthopedic  surgery ,"Orthopedist, Arthroscopy and Sports injuries, Joint Replacement, Adult Orthopedic Surgery, Adult Spine Surgery, Foot and Ankle Orthopedics, 0% of Back Pain patients are satisfied with the results",Shoubra El-Kheima : 15 may street,200,4.5,11260
Doctor,Abd El Samad Amin,Consultant of orthopedic surgery,"Orthopedist, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",6 october,300,3.5,2931
Doctor,Ahmed El Sewafy,"Orthopedic, arthroplasty and arthrocopic  surgeon","Orthopedist, Arthroscopy and Sports injuries, Adult Orthopedics, Adult Orthopedic Surgery",El-Mohandessin,300,4.5,4038
Doctor,ahmed zazoaa,orhopedics specialist,"Orthopedist, Adult Orthopedics, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Bone Deformities, Hand and Upper Limb Surgery, Foot and Ankle Orthopedics, Joint Replacement, Microscopic Surgery, Osteopathic Medicine, Arthroscopy and Sports injuries, Adult Spine Surgery",El Salam City : gamal abd el nasaer st,180,4.5,8271
Doctor,Mohamed Ahmed Hassanein,Specialist of  Orthopedics surgery & sports injuries ,"Orthopedist, Pediatric Rheumatology, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",eshreen street ,200,3.5,2465
Doctor,Hazem Abdelmonem,Orthopedic specialist ,"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Adult Orthopedic Surgery",Hurghada City : st nasser,300,4.5,9129
Doctor,Ahmed Fouad Abotaleb,Lectuerer and consultant of trauma & orthopaedics,"Orthopedist, Arthroscopy and Sports injuries, Joint Replacement, Osteopathic Medicine, Microscopic Surgery, Adult Orthopedic Surgery",Smouha : fawzi moaaz,500,4.5,11394
Doctor,Kadry Abdelrahman,Orthopedics and arthroscopy Consultant,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Microscopic Surgery, Adult Orthopedic Surgery",El-Asafra,150,3.0,1339
Doctor,Amro Shakean,Specialist of  Orthopedics surgery & sports injuries,"Orthopedist, Bone Deformities, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",eshreen street ,200,4.0,943
Doctor,Ibrahim Mandour,Assistant Lecturer and specialist in orthopedic surgery,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",El-Mansoura,300,5.0,2308
Specialist,Hossam Ahmed,Orthopedic and endoscopic surgery specialist,"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Medical Center 2,400,4.5,111
Doctor,Yasser  el shopky,"Consultant Of Orthopedic, Arthroscopy and Sport injuries ","Orthopedist, Arthroscopy and Sports injuries, Foot and Ankle Orthopedics, Adult Orthopedics, Hand and Upper Limb Surgery, Adult Orthopedic Surgery, 0% of Chest Rib Pain patients are satisfied with the results",Victoria,200,5.0,8184
Doctor,Mohamed Rashad,Orthopedic specialist/Member of Egyptian Orthopaedic Association/Member of SSOT/Member of Egyptian Arthroscopy Association,"Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery",El-Shorouk : Towen Center Mall-ElShabab road-besides Dar Masr Compound,400,4.5,302
Doctor,Malak Nader,Orthopedic surgery specialist ,"Orthopedist, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Adult Orthopedic Surgery, Arthroscopy and Sports injuries, Adult Spine Surgery, Foot and Ankle Orthopedics, Hand and Upper Limb Surgery, 0% of Neck Pain patients are satisfied with the results",Nasr City : Hesham Labib,250,5.0,681
Doctor,Ahmed elyamany,Orthopedic traumatology and spine surgery specialist,"Orthopedist, Adult Spine Surgery, Joint Replacement, Adult Orthopedics, Pediatric Orthopedics, Pediatric Spine Surgery, Adult Orthopedic Surgery, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedic Surgery",Mahalla : Sheshtawy square,130,,315
Doctor,mohamed El Sayad,orthopedic specialist,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Pediatric Orthopedics",District Seven-Second Neighborhood-Shalz mall,350,,259
